en_treasureChest_content,While exploring the dungeon you come across an old treasure chest.  Just looking at it, you know beyond a shadow of doubt that it is filled to the brim with delicious goodies.  Visions of donuts, chocolate truffles, and candy canes dance through your mind as you bend to open the chest.  Slowly, you raise the lid and stare at the inside. \\n Nothing.  Not even a crumb. \\n Obviously, you cannot stand for this outrage.  Furious, you draw your sword and rend the chest to pieces.  \\n Huh, maybe there was something hidden in the lining.  Or you just got a little better at breaking things.
zh_treasureChest_content,在探索地下城时，你偶然发现了一只古老的宝箱。光是看到它这外观，你就毫不怀疑其中装满了美味的珍宝。你脑海中浮现出甜甜圈、巧克力松露和糖果手杖的画面，于是你弯腰准备打开宝箱。你慢慢地抬起箱盖，屏气凝神地往宝箱里看去。 \\n什么都没有。甚至连一块小饼干也没有。\\n你当然不能容忍这种侮辱！你拔出剑，并愤怒地将宝箱劈成了碎片。 \\n呃，也许里面真有些隐藏的东西。或者你只是变得更擅长破坏东西了。
en_blacksmith_content,Bright pink letters adorn one of the walls of the dungeon: "Insert Coin to Continue."  Curious, you investigate further.  There is a slit in the wall, about the size of a gold piece, as well as a greyed out picture of an anvil.  As you watch, the letters jumble again, now spelling out: "Ok.  One time free."  The anvil icon lights up and begins flashing wildly.  I guess it wouldn't hurt to experiment...
zh_blacksmith_content,眼前的地牢墙壁上，几个明亮的粉色字母拼接出一句话：“插入硬币以继续”。出于好奇，你在进一步打量着这面墙壁。墙上有一道缝隙，刚好够一块金币塞进去，还有一块灰色的铁砧图标。当你再度抬头看向先前的字母，那些字母开始打乱重组出一句新的话：“好的。一次免费的机会。”铁砧图标亮起，并开始疯狂闪烁。我猜，试试也无妨……
en_healingpool_content,In the middle of the floor lies an enormous pool.  Cautious, you start to tiptoe around the outside edge when the waters begin to rile.  Ripples form, emanating from the center where a sharp tip begins to breach the water.  Slowly, a long blade follows, attached to a dainty hand, then bright red hair and a snow white face.  When the nymph rising from the waves catches sight of you she frowns.  "Oh.  That's not at all who I was expecting.  What are you doing here?"\\n You stammer something foolishly.\\n "Yeah, whatever.  Look, you can drink some of the water - it'll make you feel better.  But you're going to have to pay me for anything you use.  Just toss the coin into the water - I'm going to take a nap."
zh_healingpool_content,在地板中央有一个巨大的水池。当水开始沸腾时，你小心翼翼的踮起脚尖绕过水池的边缘。一个尖锐的物体从水面中心露出，并伴随着水面的阵阵波纹。一只精致的手划开水流，从水中缓缓升起。当鲜红的头发和雪白的脸颊浮上水面时，你意识到这是湖中仙子。当这位随海浪升起的仙女看到你时，她皱起了眉头：“哦，这可完全不是我想的那样。你在这里干什么？”\\n你结结巴巴地说了些傻话。“好吧，无所谓了。听着，你可以和一些湖水——这湖水能疗愈身心。但你用了什么都要付钱给我。你问怎么支付？喏，你只要把硬币投到水里就行了。现在，别再打扰我了，我还要睡午觉呢。”
en_healingpool_firstText,\\n"Well, you know what?  This is your first time, so I guess you can have some for free.  Just don't expect anything else from me."
zh_healingpool_firstText,\\n“嗯……好吧，你猜怎么着？你是头一次光顾这里，所以你可以免费享用一次服务。但你可别指望下次还有例外。”
en_lichhunter_content,While exploring the old catacombs you come across an old man, desperately clutching a cross and muttering feverishly.  Obviously a pre-zombie, you draw your sword and prepare to end his pre-misery.  "Living, listen!" He cries, throwing open his arms.  "Igor has much to teach you!  Lich not die - Igor teach you how!"\n\nThis seems like a pretty specific skill, but who knows, it might come in handy...
zh_lichhunter_content,在探索古老的地下墓穴之时，你意外撞见一个老人。这位老人紧抓着一把十字架，狂热地嘟囔着。这显然是尸变前兆（pre-zombie），你拔剑准备结束他的“苦难前兆”。“活着，听着！”他叫喊着，张开了双臂“伊戈尔有很多东西要教给你！巫妖不会死亡——伊戈尔教你怎么做！”\\n\\n这似乎是一项十分独特的技能，但谁知道呢，万一它派上用场……
en_monastery_content,Deep in the dungeon you stumble across a surprise.  Leaning against one of the walls is a cardboard cutout; a painted church in gaudy blue.  On a whim you try the painted doorknob, but to your surprise, the door, along with the wall behind it, parts.  Curious now, you walk into an almost empty room.  Sitting cross-legged against the far wall is a man.  Long, scraggly hair obscures his face, but he stands as you enter. \\n "Welcome, traveller.  Have you come to forget your past?" \\n Then he grins.  "The first time is free." \\n It seems like he might be able to help you forget.  But no one in this dungeon does things for free; something tells you the cost will increase each time you take advantage of this offer.
zh_monastery_content,在地牢深处，你偶然发现一个惊喜。一块被裁切过的硬纸板靠着墙壁：一座绘制出的艳蓝色教堂。你突然心血来潮，尝试去拧涂着油漆的门把手，然而门和后面的墙壁都只是散件。你好奇地走进一个几乎空荡的房间，只有一个男人盘腿靠着墙壁坐着。长而凌乱的头发遮住了他的脸庞，但看到你进入房间时他站了起来。\\n“欢迎你，旅行者。你是来遗忘过去的吗？”\\n他笑了笑，说：“第一次免费。”\\n似乎，他拥有令人遗忘的力量。但这个地牢里可没有会做慈善：一种预感告诉你，每次你使用这个力量，成本都会增加。
en_stairs_content,Stone steps lead down into the darkness.  You're unsure what lies ahead, but you are filled with a certainty that once you take these stairs you can never come back.
zh_stairs_content,石制的台阶向下延伸到黑暗之中。你不确定前方有什么，唯一能确信的就是一旦踏上这台阶，再难回头。
en_stairs_maxdepth_content,Stone steps spiral downward.  You can make out a bright light in the far distance and sense that your journey has come to its end.
zh_stairs_maxdepth_content,石阶盘旋向下。你可以看到在远处有一道光亮，看来你的旅程已经结束了。
en_stairs_DoExplorationBonus1,Floor {value} Complete!
zh_stairs_DoExplorationBonus1,通过第{value}层！
en_stairs_DoExplorationBonus2,You have {num}unexplored tiles. \n You gain {num2} experience and {num3} gold.
zh_stairs_DoExplorationBonus2,你有 {num}块未探索的地块。\\n 你获得了 {num2}经验值 和 {num3}金币。
en_shop_content,Exploring the otherwise dark and dreary dungeon, you come upon a small house.  Built not from bricks or stone but from gingerbread and gumdrops, it immediately draws you in. \\n On entering, you meet the owner, a goblin woman, stooped with age. "Care for some candy?"  she asks. "Or would you prefer one of our delicious treats?  Guaranteed to expand your mind!"
