Monster Identifier,Bestiary Entry
en_Kobold,Weak monster.  Special card is Cower which lets him avoid damage from a single source. \\n \\n Tips: Play something weak to check for Cower before you go for the kill.
en_Goblin,Weak monster.  Special card is a Goblin Ally, an equipment that will hurt you each turn. \\n \\n Tips: Very weak, so kill them when you need a level up or to reset cooldowns.
en_DiscipleOfChaos,Random monster.  Damage is random and has a special card which has random effects.  Tends to damage himself. \\n \\n Tips: Play defense and let him take care of himself.
en_Pixie,Magical monster.  Does enormous damage but has low health. \\n \\n Tips: Kill her very quickly or she can deal massive damage.
en_UssuriTracker,Evasive monster.  Does high damage and blocks your first play each turn. \\n \\n Tips: Play a weak card into her avoid each turn so that you can then play your stronger attacks.
en_Skeleton,Weak monster.  Special card is Bone Shield which blocks a small amount of damage. \\n \\n Tips: Deal steady damage and then take him out when the shield is down.
en_Zombie,Poisonous monster.  Special card is Zombie Bite which kills you in a few turns. \\n \\n Tips: Be prepared to deal enough damage to kill him in 5 turns.
en_AkamiShaman,Magical monster.  Special card is Mana Totem which generates additional mana for him each turn. \\n \\n Tips: Kill him quickly before the mana totem gets out of hand.
en_Orc,Brawny monster.  Has minimal defenses, but does reasonable damage with swords. \\n \\n Tips: Disrupt him if possible.  If he can't use his sword, his damage is minimal.
en_Wyvern,Poisonous monster.  Has large amounts of poison but no defenses, so take it down quickly. \\n \\n Tips: Deal lots of damage or use protection against poison.
en_VampireBat,Weak monster.  Special card is Vampire Bite which allows him to heal a small amount. \\n \\n Tips: Be ready for the heal, but otherwise not particularly dangerous.
en_GiantSpider,Poisonous monster.  Has a mix of poison and defense.  His web makes you lose an action as well as a card, so be careful what you discard. \\n \\n Tips: Be aware of your number of actions, but kill him before the poison is too much.
en_Piranha,Aggressive monster.  Deals massive, stacking damage. \\n \\n Tips: Kill him very quickly before his damage scales out of control.
en_Ooze,Disruptive monster.  Eats cards from your hand and regenerates health each turn. \\n \\n Tips: Don't rely on just a single card and make sure you can outdamage his healing.
en_Griffon,Defensive monster.  Special card is Fly which makes him invulnerable for a turn. \\n \\n Tips: Take advantage of the turn you can't damage him to sculpt a strong hand to finish him off once he lands.
en_Medusa,Disruptive monster.  Adds curses to your deck and then deals damage to you based on the number of curses in your hand. \\n \\n Tips: Either be prepared to kill her quickly or use card filtering abilities like Inner Peace to handle the curses.
en_GoblinMechanist,Random monster.  Copies all your equipment and builds very powerful equipment each turn.  Except when he blows himself up. \\n \\n Tips: Unequip any equipment that you can't handle and be careful about what you play.  Get damage in early.
en_FaerieRogue,Disruptive monster.  Very strong against action and attack cards, using Disorient to hit you with your own actions and Riposte to negate your attacks. \\n \\n Tips: Bait the reaction cards using your weaker attacks and actions first, then finish him with your more powerful cards.
en_Brownie,Disruptive monster.  Very high dodge chance and has Counterspell which negates your spells \\n \\n Tips: Use powerful action cards.  If you use spells, use your least powerful and cheaper ones first, then your stronger ones.
en_Clone,You.  In disguise.  Plays exactly the same deck as you with high health and good starting mana. \\n \\n Tips: Break the symmetry with equipped equipment or your special combat abilities.
en_Harpy,Poisonous monster.  Has Screech which negates spells and high poison damage. \\n \\n Tips: Bait the Screech with a weak spell and kill her before the poison becomes too much.
en_Banshee,Defensive monster.  Resists physical damage.  Makes you discard cards and drains your life to heal her. \\n \\n Tips: Be prepared for her physical resistance and use elemental damage cards or cards that do more than 1 physical damage.
en_Wisp,Magical monster.  <Physical immune.>  Deals damage equal to his mana with Discharge, so be prepared for large damage early in the fight. \\n \\n Tips: Have non-physical damage or wait for his discharge to take him down.
