en,zh,note
Die once,死亡【1】 次,
Die ten times,死亡【10】 次,
Die fifty times,死亡【50】 次,
Die one hundred times,死亡【100】 次,
Gain 100 mana,获取【100】<<SpecialKeyword|mana>>,
Gain 500 mana,获取【500】<<SpecialKeyword|mana>>,
Gain 2,000 mana,获取【2000】<<SpecialKeyword|mana>>,
Gain 10,000 mana,获取【10000】<<SpecialKeyword|mana>>,
Deal 200 damage,造成【200】伤害,
Deal 1,000 damage,造成【1000】伤害,
Deal 5,000 damage,造成【5000】伤害,
Deal 20,000 damage,造成【20000】伤害,
Walk 500 steps,行进【500】步,
Walk 5,000 steps,行进【5000】步,
Walk 12,000 steps,行进【12000】步,
Walk 26,219 steps,行进【26219】步,
Kill 20 creatures,击杀【20】个<<SpecialKeyword|creatures>>,
Kill 100 creatures,击杀【100】个<<SpecialKeyword|creatures>>,
Kill 500 creatures,击杀【500】个<<SpecialKeyword|creatures>>,
Kill 1,000 creatures,击杀【1000】个<<SpecialKeyword|creatures>>,
Add 30 cards to your deck,向你的卡组中添加【30】张卡,
Add 200 cards to your deck,向你的卡组中添加【200】张卡,
Add 500 cards to your deck,向你的卡组中添加【500】张卡,
Add 1000 cards to your deck,向你的卡组中添加【1000】张卡,
Kill 5 adventurers,击杀【5】个<<SpecialKeyword|adventurers>>,
Kill 20 adventurers,击杀【20】个<<SpecialKeyword|adventurers>>,
Kill 5 Goblins,击杀【5】个<<SpecialKeyword|Goblins>>,
Kill 20 Goblins,击杀【20】个<<SpecialKeyword|Goblins>>,
Kill 5 Ussuri,击杀【5】个<<SpecialKeyword|Ussuri>>,
Kill 20 Ussuri,击杀【20】个<<SpecialKeyword|Ussuri>>,
Kill 5 Akami,击杀【5】个<<SpecialKeyword|Akami>>,
Kill 20 Akami,击杀【20】个<<SpecialKeyword|Akami>>,
Kill 5 Undead,击杀【5】个<<SpecialKeyword|Undead>>,
Kill 20 Undead,击杀【20】个<<SpecialKeyword|Undead>>,
Kill 5 faeries,击杀【5】个<<SpecialKeyword|faeries>>,
Kill 20 faeries,击杀【20】个<<SpecialKeyword|faeries>>,
Kill 5 elementals,击杀【5】个<<SpecialKeyword|elementals>>,
Kill 20 elementals,击杀【20】个<<SpecialKeyword|elementals>>,
Kill 5 dragons,击杀【5】个<<SpecialKeyword|dragons>>,
