en,zh,note
Gain access to a talent on the first floor,开局可以选择一个<<SpecialKeyword|talent>>,
Gain access to the Flee talent,解锁【<<TalentName|Flee>>】<<SpecialKeyword|talent>>,
Gain access to the Sixth Sense talent,解锁【<<TalentName|Sixth Sense>>】<<SpecialKeyword|talent>>,
Gain access to the Polymorph Talent,解锁【<<TalentName|Polymorph>>】<<SpecialKeyword|talent>>,
Your characters have 1 additional starting mana,你的角色拥有【1】点额外初始<<SpecialKeyword|mana>>,
Gain access to the Force of Will card,解锁卡牌【<<CardName|Force of Will>>】,
Gain access to the Elusive Power card,解锁卡牌 \\n 【<<CardName|Elusive Power>>】,
Gain access to the Kinetic Charge card,解锁卡牌【<<CardName|Kinetic Charge>>】,
Your characters start with 3 additional gold,你的角色拥有【3】额外初始<<SpecialKeyword|gold>>,
Gain access to the Execute card,解锁卡牌【<<CardName|Execute>>】,
Gain access to the Skull Crack card,解锁卡牌【<<CardName|Skull Crack>>】,
Gain access to the Battle Cry card,解锁卡牌【<<CardName|Battle Cry>>】,
Your characters will find one additional health pack on each floor,你的角色在每层地牢都会找到一个额外回复包,
Gain access to the Dodge card,解锁卡牌【<<CardName|Dodge>>】,
Gain access to the Evasion card,解锁卡牌【<<CardName|Evasion>>】,
Gain access to the Exhaustion card,解锁卡牌【<<CardName|Exhaustion>>】,
Your characters have 1 additional health,你的角色拥有【1】点额外生命值,
Gain access to the Second Thoughts card,解锁卡牌【<<CardName|Second Thoughts>>】,
Gain access to the Second Strike card,解锁卡牌【<<CardName|Second Strike>>】,
Gain access to the Last Chance card,解锁卡牌【<<CardName|Last Chance>>】,
Gain access to the Recycle card,解锁卡牌【<<CardName|Recycle>>】,
Gain access to the Pilfer card,解锁卡牌【<<CardName|Pilfer>>】,
Gain access to the Overpower card,解锁卡牌【<<CardName|Overpower>>】,
Gain access to the Resilience card,解锁卡牌【<<CardName|Resilience>>】,
Gain access to the Pickpocket card,解锁卡牌【<<CardName|Pickpocket>>】,
Gain access to the Invisibility card,解锁卡牌【<<CardName|Invisibility>>】,
Gain access to the Bewitch card,解锁卡牌【<<CardName|Bewitch>>】,
Gain access to the Infect card,解锁卡牌【<<CardName|Infect>>】,
Gain access to the Quicken card,解锁卡牌【<<CardName|Quicken>>】,
Gain access to the Channel card,解锁卡牌【<<CardName|Channel>>】,
Your characters find an additional Treasure Chest on each floor,你的角色在每层地牢都会找到一个额外宝箱,
Gain access to the Obliterate card,解锁卡牌【<<CardName|Obliterate>>】,
Gain access to the Scimitars card,解锁卡牌【<<CardName|Scimitars>>】,
Gain access to the Second Wind card,解锁卡牌【<<CardName|Second Wind>>】,
Gain access to the Mahamat card,解锁卡牌【<<CardName|Mahamat>>】,
Gain access to the Meditation card,解锁卡牌【<<CardName|Meditation>>】,
Gain access to the Sift card,解锁卡牌【<<CardName|Sift>>】,
Gain access to the Anticipate card,解锁卡牌【<<CardName|Anticipate>>】,
Gain access to the Sundering Strike card,解锁卡牌【<<CardName|Sundering Strike>>】,
Gain access to the Desperate Strike card,解锁卡牌【<<CardName|Desperate Strike>>】,
Gain access to the Avoid card,解锁卡牌【<<CardName|Avoid>>】,
Gain access to the Cloak of Flame card,解锁卡牌【<<CardName|Cloak of Flame>>】,
Gain access to the Divine Inspiration card,解锁卡牌【<<CardName|Divine Inspiration>>】,
Gain access to the Elemental Fortitude card,解锁卡牌【<<CardName|Elemental Shroud>>】,
Gain access to the Donnerschwert card,解锁卡牌【<<CardName|Donnerschwert>>】,
Gain access to the Mimic card,解锁卡牌【<<CardName|Mimic>>】,
Gain access to the Gauss' Hourglass card,解锁卡牌【<<CardName|Gauss' Hourglass>>】,
Gain access to the Troll Blood Charm card,解锁卡牌 \\n 【<<CardName|Troll Blood Charm>>】,
Gain access to the Wall of Swords card,解锁卡牌【<<CardName|Wall of Swords>>】,
Gain access to the Bloody Knuckles card,解锁卡牌【<<CardName|Bloody Knuckles>>】,
Unlock the Professor class,解锁【<<ChooseClass|Professor>>】职业,
Gain access to the Teleport talent,解锁【<<TalentName|Teleport>>】<<SpecialKeyword|talent>>,
Gain access to the Well-Armed talent,解锁【<<TalentName|Well-Armed>>】<<SpecialKeyword|talent>>,
Gain access to the Preparation talent,解锁【<<TalentName|Preparation>>】<<SpecialKeyword|talent>>,
Gain access to the Smash talent,解锁【<<TalentName|Smash>>】<<SpecialKeyword|talent>>,
Gain access to the Heal talent,解锁【<<TalentName|Heal>>】<<SpecialKeyword|talent>>,
Gain access to the Poisonous talent,解锁【<<TalentName|Poisonous>>】<<SpecialKeyword|talent>>,
Gain access to the Fluid talent,解锁【<<TalentName|Fluid>>】<<SpecialKeyword|talent>>,
Gain access to the Vampiric talent,解锁【<<TalentName|Vampiric>>】<<SpecialKeyword|talent>>,
Gain access to the Fiery talent,解锁【<<TalentName|Fiery>>】<<SpecialKeyword|talent>>,
Gain access to the Invisibility talent,解锁【<<TalentName|Invisibility>>】<<SpecialKeyword|talent>>,
Gain access to the Harry card,解锁【<<TalentName|Flee>>】<<SpecialKeyword|talent>>,
Gain access to the Clear Mind talent,解锁【<<TalentName|Clear Mind>>】<<SpecialKeyword|talent>>,
Gain access to the Hoard talent,解锁【<<TalentName|Hoard>>】<<SpecialKeyword|talent>>,
Gain access to the Portent talent,解锁【<<TalentName|Portent>>】<<SpecialKeyword|talent>>,
Unlock the Paladin class,解锁【<<ChooseClass|Paladin>>】职业,
Unlock the Assassin class,解锁【<<ChooseClass|Assassin>>】职业,
Unlock the Dragon class,解锁【<<ChooseClass|Dragon>>】职业,
Gain access to the Sorcerous talent,解锁【<<TalentName|Sorcerous>>】<<SpecialKeyword|talent>>,
Gain access to the Heroic talent,解锁【<<TalentName|Heroic>>】<<SpecialKeyword|talent>>,
Gain access to the Sneaky talent,解锁【<<TalentName|Sneaky>>】<<SpecialKeyword|talent>>,
Gain access to the Warlike talent,解锁【<<TalentName|Warlike>>】<<SpecialKeyword|talent>>,
Gain access to the Pious talent,解锁【<<TalentName|Pious>>】<<SpecialKeyword|talent>>,
Gain access to the Jasra's Emerald card,解锁卡牌 \\n 【<<CardName|Jasra's Emerald>>】,
Gain access to the Phoenix Feather card,解锁卡牌【<<CardName|Phoenix Feather>>】,
Gain access to the Soulforge card,解锁卡牌【<<CardName|Soulforge>>】,
Gain access to the Flamebrand card,解锁卡牌【<<CardName|Flamebrand>>】,
Gain access to the card The Bleeder,解锁卡牌【<<CardName|Bleeder>>】,
Gain access to the Elemental Surge card,解锁卡牌【<<CardName|Elemental Surge>>】,
Find an additional tavern as the bard,当你使用【<<ChooseClass|Bard>>】时，可以找到一间额外的酒馆,
Your Hoard ability is more effective,你的【TODO】能力变得更加强大,
Reduce the cooldown on your Research ability,减少你的【TODO】能力的冷却时间,
Gain access to the Desperate talent,解锁【<<TalentName|Desperate>>】<<SpecialKeyword|talent>>,
Unlock the Necromancer class,解锁【<<ChooseClass|Necromancer>>】职业,
Gain access to the Impervious talent,解锁【<<TalentName|Impervious>>】<<SpecialKeyword|talent>>,
Gain access to the Deck of Wonders card,解锁卡牌【<<CardName|Deck of Wonders>>】,
Gain access to the Crumble talent,解锁【<<TalentName|Crumble>>】<<SpecialKeyword|talent>>,
Your characters gain one additional health on level up,当你的角色升级时，获得1点额外生命值,
Unlock the Monk class,解锁【<<ChooseClass|Monk>>】职业,
Gain access to the Ding! talent,解锁【<<TalentName|Ding!>>】<<SpecialKeyword|talent>>,
Gain access to the Copy talent,解锁【<<TalentName|Copy>>】<<SpecialKeyword|talent>>,
Gain access to the Sublime talent,解锁【<<TalentName|Sublime>>】<<SpecialKeyword|talent>>,
Gain access to the Charismatic talent,解锁【<<TalentName|Charismatic>>】<<SpecialKeyword|talent>>,
Gain access to the Tiltowait talent,解锁【<<TalentName|Tiltowait>>】<<SpecialKeyword|talent>>,
Gain access to the Archmage talent,解锁【<<TalentName|Archmage>>】<<SpecialKeyword|talent>>,
Unlock the Druid class,解锁【<<ChooseClass|Druid>>】职业,
Unlock the Samurai class,解锁【<<ChooseClass|Samurai>>】职业,
Unlock the Bard class,解锁【<<ChooseClass|Bard>>】职业,
Gain access to the Master Thief talent,解锁【<<TalentName|Master Thief>>】<<SpecialKeyword|talent>>,
Gain access to the Protean card,解锁卡牌【<<CardName|Protean>>】,
Unlock the Ranger class,解锁【<<ChooseClass|Ranger>>】职业,
