en,zh,note
Attack (1),攻击（1）,
Attack (2),攻击（2）,
Attack (3),攻击（3）,
Attack (4),攻击（4）,
Storm Slash (1),雷电斩击（1）,
Storm Slash (2),雷电斩击（2）,
Storm Slash (3),雷电斩击（3）,
Frost Slash (1),霜冻斩击（1）,
Frost Slash (2),霜冻斩击（2）,
Frost Slash (3),霜冻斩击（3）,
Flame Slash (1),火焰斩击（1）,
Flame Slash (2),火焰斩击（2）,
Flame Slash (3),火焰斩击（3）,
Corrosive Slash (1),侵蚀斩击（1）,
Corrosive Slash (2),侵蚀斩击（2）,
Corrosive Slash (3),侵蚀斩击（3）,
Colossus Smash,碎星重斩,
Sundering Strike,破坏打击,
Sundering Strike (1),破坏打击（1）,
Sundering Strike (2),破坏打击（2）,
Sundering Strike (3),破坏打击（3）,
Rallying Stroke,连环打击,
Berserker Strike,狂暴打击,
Pierce (1),穿刺（1）,
Pierce (2),穿刺（2）,
Pierce (3),穿刺（3）,
Holy Strike (1),神圣打击（1）,
Holy Strike (2),神圣打击（2）,
Holy Strike (3),神圣打击（3）,
Sorcerous Strike (1),秘法打击（1）,
Sorcerous Strike (2),秘法打击（2）,
Sorcerous Strike (3),秘法打击（3）,
Infect,感染,
Dragon's Claw (1),龙爪（1）,
Dragon's Claw (2),龙爪（2）,
Dragon's Claw (3),龙爪（3）,
Dragon's Bite,龙咬,
Shield Bash,盾牌猛击,
Backstab,背刺,
Slash,斩击,
Smash,重斩,
Skull Crack,当头一击,
Harry,游走,
Rake,利爪攻击,
Maul,打伤,
Bite,撕咬,
Chaos Strike,混乱打击,
Chaos Strike,混乱打击,
Flame Strike,火焰打击,
Lightning Strike,雷击,
Burn,燃烧,
Burn (2),燃烧（2）,
Shark Bite,鲨咬,
Shark Bite (2),鲨咬（2）,
Thrash,暴鲨摆尾,
Infect (1),感染（1）,
Infect (2),感染（2）,
Infect (3),感染（3）,
Mana (1),法力（1）,
Mana (2),法力（2）,
Mana (3),法力（3）,
Dragon's Wisdom,龙的智慧,
Flame Charge,火焰流转,
Frost Charge,冰霜流转,
Static Charge,快速流转,
Stone Charge,大地流转,
Salve,药膏,
Wisdom,智慧,
Piety,虔诚,
Clarity,明晰,
Mana Surge,法力激增,
Raw Power,元能量,
Elusive Power,无形之力,
Inspiration,灵感,
Kinetic Charge,动能流转,
Mana Swell,法力膨胀,
Overload,超载,
Conduit,咒术之门,
Elemental Surge,元素激增,
Jasra's Jarring Jolt,贾斯拉的震动,
Blur,模糊,
Wrath of God,神怒,
Soul Siphon,灵魂虹吸,
Orison,祷言,
Heal,愈合,
Ward,魔法屏障,
Divine Inspiration,神圣启迪,
Drain Life,生命汲取,
Haste,高速吟唱,
Mind Sear,心灵操控,
Crumble,崩溃,
Invisibility,隐形,
Bless,保佑,
Soulfire,魂焰,
Penance,忏悔,
Force of Will,意志力,
Eye for an Eye,以眼还眼,
Vapor Form,气化身躯,
Elemental Shroud,元素庇护,
Shrink,缩小术,
Stasis,停止时间,
Absorb Vis,魔能汲取,
Purifying Light,净化光线,
Mahamat,马哈马特,
Fireball,火球术,
Frost Bolt,冰霜飞弹,
Shock,雷电震撼,
Acid Lance,酸矛,
Meteor,陨石术,
Acid Rain,酸雨,
Blizzard,暴风雪,
Electrocute,电流连锁,
Conflagration,审判火雨,
Storm,雷暴,
Blight,疫病,
Freeze,冻结,
Earth Shape,大地庇佑,
Frost Shape,冰霜庇佑,
Fire Shape,火焰庇佑,
Storm Shape,雷电庇佑,
Nature's Blessing,大自然的祝福,
Summon Companions,呼朋引伴,
Sear,火焰飞弹,
Explosion,爆炸,
Slow,迟缓术,
Thunder Storm,雷电交加,
Solidify,石化术,
Dark Mending,黑暗疗愈,
Discharge,释放,
Healing Potion,治愈药水,
Fire Bomb,爆燃药水,
Bandage,绷带,
Sift,筛选,
Last Chance,最后的机会,
Study Guide,学习指南,
Tiltowait,终极之力,
Slap,拍击,
Slice,切削,
Dice,终结连击,
Pilfer,窃取,
Swiftness,迅速,
Alacrity,敏捷,
Jab,戳刺,
Avoid,闪避,
Venom,毒液,
Mimic,模仿,
Evasion,逃避,
Circle,旋风斩,
Expose,暴露弱点,
Sidestep,侧身回避,
Hemorrhage,出血,
Preparation,蓄势待发,
Desperate Strike,绝望打击,
Bleed,流血,
Coup de Grace,致命一击,
Accelerate,加速,
Penetrating Palm,穿透掌,
Strike (1),打击（1）,
Strike (2),打击（2）,
Strike (3),打击（3）,
Kick,踢,
Pickpocket,扒手,
Skewer,贯穿一击,
Dodge,躲闪,
Recycle,回收,
Piercing Stab,穿甲一击,
Mental Fortress,精神要塞,
Extract,提炼,
Focus,专注,
Inner Focus,内观专注,
Inner Peace,心如止水,
Meditation,冥想,
Study,学习,
Curse of Weakness,无力的诅咒,
Second Thoughts,第二个想法,
Second Wind,第二风,
Psionic Blast,灵能爆炸,
Pure Thoughts,赤子之心,
Second Strike,第二次打击,
Anticipate,预见,
Charm,魅力,
Bewitch,蛊惑,
Channel,通道,
Misdirection,误导,
Rush,冲撞,
Stoneskin,石肤,
Overpower,压制,
Battle Cry,战吼,
Choke,扼住咽喉,
Execute,处决,
Crush,破兵一击,
Hamstring,断筋,
Blade Flurry,刀刃乱舞,
Shield Wall,盾墙,
Troll Hide,巨魔之皮,
Obliterate,湮灭,
Wall of Swords,剑墙,
Resilience,韧性,
Flee,逃跑,
Mana Potion,法力药水,
Storm Palm,雷电掌,
Flame Palm,火焰掌,
Acid Palm,腐蚀掌控,
Frost Palm,冰霜掌,
Lich Kick,巫妖踢,
Dragon's Breath,龙之呼吸,
Dragon's Hide,龙肤,
Dragon's Roar,龙哮,
Dragon's Snack,龙的点心,
Dragon's Tail,龙尾,
Eagle,鹰,
Wolf,狼,
Turtle,龟,
Tongue Lash,舌头睫毛,
Tongue Lash,舌头睫毛,
Coin Toss,投币,
Gag,嘲弄,
Hide,躲藏,
Escape,逃脱,
Goblin Bomb,哥布林炸弹,
Mind Drain,思维读取,
Sprite Stab,精灵刺击,
Mana Drain,法力流失,
Suffocate,窒息,
Bone Shield,骨护盾,
Bone Shield (2),骨护盾（2）,
Vampire Bite,嗜血之咬,
Vampire Bite (2),嗜血之咬（2）,
Slam,猛烈冲撞,
Flame Breath,火之呼吸,
Dragon Scales,龙鳞,
Dragon Scales (2),龙鳞（2）,
Acid Breath,酸之呼吸,
Lightning Breath,雷之呼吸,
Frost Breath,霜之呼吸,
Storm Stab,雷暴刺击,
Shred,撕碎,
Claw,爪击,
Swipe,手滑,
Pounce,猛扑,
Chaos Prayer,混乱祷告,
Stone,石化,
Sting,蝎尾刺,
Scream,尖叫,
Web,蛛网,
Web (2),蛛网（2）,
Zombie Bite,僵尸撕咬,
Golem Armor,魔像盔甲,
Gore,血肉横飞,
Enthrall,摄魂之眼,
Three Wishes,三个愿望,
Three Wishes,三个愿望,
Zap,闪电打击,
Crush Everything,粉碎一切,
Infernal Contract,地狱契约,
Corrupt,腐败,
Brambles,荆棘,
Might of Oak,橡树之力,
Entrap,诱捕,
Teach,教授,
Engulf,吞噬,
Baleful Gaze,恶意凝视,
Incorporeal,无形,
Fly,飞翔,
Digest,消化,
Gaze,美杜莎之视,
Drain Life,生命流失,
Soul Crush,灵魂重创,
Beckon,招手,
Ravage,猛攻,
Deadly Curse,致命的诅咒,
Wreath of Fire,烈火缠身,
Scorch,烧焦,
Swarm,群殴,
Swarm,群殴,
Sword (Level 1),剑（1级）,
Sword (Level 2),剑（2级）,
Sword (Level 3),剑（3级）,
Sword (Level 4),剑（4级）,
Sword,剑,
Greatbow,大弓,
Staff,法杖,
Pendant,吊坠,
Shield,盾,
Armor,盔甲,
Celestial Plate,神圣板甲,
Darting Daggers,飞镖匕首,
Boots of Speed,神速之靴,
Cloak of Flame,火焰斗篷,
Donnerschwert,雷鸣剑,
The Bleeder,放血者,
Jasra's Tome,贾斯拉之书,
Jeremiad's Bracer,耶利米德的手镯,
Phoenix Feather,凤凰羽毛,
Vampire Sword,吸血鬼剑,
Flamebrand,火焰剑,
Jasra's Emerald,贾斯拉的翡翠,
Jeremiad's Kris,耶利米德的蛇刃,
Poison Dagger,染毒匕首,
Scimitars,弯刀,
Periapt of Protection,护盾护符,
Deck of Wonder,惊奇牌组,
Bloody Knuckles,血腥指虎,
Dancing Scimitar,舞刃弯刀,
Troll Blood Charm,巨魔血脉护符,
Soulforge,灵魂熔炉,
Gauss' Hourglass,高斯的沙漏,
Bear,熊,
Forcefield,力场,
Cloak of Invisibility,隐形斗篷,
Goblin Ally,哥布林伙伴,
Goblin Lackey,哥布林跟班,
Phylactery,替身护符,
Storm Blade,雷暴之剑,
Mana Totem,法力图腾,
Haste Totem,急速图腾,
Shock Totem,雷击图腾,
Disorient,晕头转向,
Riposte,格挡反击,
Exhaustion,精疲力尽,
Fester,溃烂,
Protean,杂食动物,
Cower,退缩,
Screech,尖叫,
Retaliate,报复,
Retribution,报应,
Reenact,情景再现,
Slurp,暴风吸入,
Ink Spray,墨水喷雾,
Chain Lightning,连锁闪电,
Counterspell,反制法术,
Prayer of Wrath,愤怒祷告,
Prayer of Violence,暴力祷告,
Prayer of Speed,速度祷告,
Prayer of Life,生命祷告,
