en,zh,note
Adrenaline Rush,激素冲击,
Avoidance,避免,
Bone Shield,骨盾,
Burning Light,烈焰之光,
Channel,引导,
Charm,魅力,
Clinging Light,依附之光,
Critical Strike,暴击,
Desperate Prayer,绝望祈祷,
Devastate,毁灭,
Distract,干扰,
Divine Favor,神圣宠爱,
Weapon Master,武器大师,
Double Strike,双重打击,
Flee,逃跑,
Flurry,疾风,
Arm,臂力,
Kai Strike,破魔斩,
Life Tap,生命汲取,
Mana Font,法力之源,
Shadow Step,影步,
Recall,召回,
Rend,撕裂,
Scrounge,搜寻,
Refocus,重新集中,
Soul Leech,灵魂吸取,
Spell Fury,法术狂怒,
Research,研究,
Summon Allies,召唤盟友,
Summon Bear,召唤熊,
Surge,激增,
Development,发展,
Vanish,消失,
Pure Poison,纯净毒药,
Holy Surge,神圣激增,
