en,zh,note
Cleanse,净化,
Upgrade,升级,
+Card,+卡牌,
+Action,+行动力,
+Equipment,+装备槽,
Talented,天资卓绝,
Dexterous,灵巧,
Upgrade All,全面升级,
Perfect Body,完美身躯,
Thick Skin,皮糙肉厚,
Flame Aura,火焰光环,
Fear,恐惧,
Murder,<<DungeonAction|Murder>>,
Invisibility,<<DungeonAction|Invisibility>>,
Alchemy,<<DungeonAction|Alchemy>>,
Channel Upgrade,【!】通道升级1,
Kai Blast,破魔秘法,
Grace,优雅,
Channel Upgrade,【!】通道升级3,
Channel Upgrade,【!】通道升级4,
Diamond Fist,钻石拳,
Iron Will,铁意志,
Bone Shield,骨盾,
Boast,自夸,
Make Camp,<<DungeonAction|Make Camp>>,
Ambush,伏击,
Healthy,身体健康,
Sanctity,圣洁,
Rich!,富有！,
Magical,魔法资质,
