en,zh,note
Delete one card from your deck,从你的牌组中删除一张卡牌,
Upgrade one card from your deck,升级你的牌组中的一张卡牌,
Draw one additional card each turn,每回合额外抽一张卡牌,
Gain one additional action per round,每回合额外获得一个行动,
Gain one additional equipment slot,获得一个额外的装备栏位,
Choose an additional talent,选择一个额外的<<SpecialKeyword|talent>>,
Dodge 20% of attacks in combat,在战斗中躲避20%的攻击,
Upgrade all upgradable cards in your deck,升级你牌组中所有可升级的卡牌,
Heal 2 damage each turn,每回合恢复2点伤害,
Prevent one point of physical damage from each source,每个来源的物理伤害减少1点,
Deal 2 fire damage for each attack card an enemy plays,敌人每打出一张攻击卡牌对其造成2点火焰伤害,
Opponent's maximum hand size is reduced by 1,敌人的最大手牌数减少1,
"Dungeon Ability (cooldown 4):  Kill a non-boss monster, gaining experience but not gold",<<SpecialKeyword|Dungeon Ability>>（<<SpecialKeyword|cooldown>>4）：击杀一个<<SpecialKeyword|non-boss>>怪物，获得<<SpecialKeyword|experience>>但不获得<<SpecialKeyword|gold>>,
Dungeon Ability (cooldown 3):  May move through monsters until your next combat,<<SpecialKeyword|Dungeon Ability>>（<<SpecialKeyword|cooldown>>3）：在下次战斗前你的移动可以穿越怪物,
Dungeon Ability (cooldown 1):  Create a healing potion to add to your deck,<<SpecialKeyword|Dungeon Ability>>（<<SpecialKeyword|cooldown>>1）：制造一个治疗药水并加入你的卡组,
Your channel ability now gives 4 mana each use,你的【<<CombatAbilityName|Channel>>】<<SpecialKeyword|ability>>现在每次使用给予4点<<SpecialKeyword|mana>>,
Your Kai Strike ability is reset and now has a cooldown of 2,你的【<<CombatAbilityName|Kai Strike>>】<<SpecialKeyword|ability>>被重置，现在<<SpecialKeyword|cooldown>>为2,
"Gain 5 life, 5 mana, and 1 action",获得5点<<SpecialKeyword|health>>、5点<<SpecialKeyword|mana>>和1点<<SpecialKeyword|action>>,
Your channel ability now gives three mana per action card,你的【<<CombatAbilityName|Kai Strike>>】<<SpecialKeyword|ability>>现在每张<<SpecialKeyword|action card>>给予3点<<SpecialKeyword|mana>>,
Your channel ability now gives four mana per action card,你的【<<CombatAbilityName|Kai Strike>>】<<SpecialKeyword|ability>>现在每张<<SpecialKeyword|action card>>给予4点<<SpecialKeyword|mana>>,
Your damage is piercing,你的伤害是穿透性的,
You are immune to most deck and hand manipulation,你对大多数卡组和手牌操作免疫,
You start combats with a 5 point shield,你开始战斗时拥有5点<<SpecialKeyword|shield>>,
Defeating a higher level monster reduces your dungeon ability cooldowns by an additional 1,击败一个比你高等级的怪物将减少你的<<SpecialKeyword|dungeon ability>><<SpecialKeyword|cooldowns>>额外1点,
"Dungeon Ability (cooldown 4):  Create a makeshift camp to rest, recover, and take notes",<<SpecialKeyword|Dungeon Ability>>（<<SpecialKeyword|cooldown>>4）：创建一个临时营地用以休息、恢复并做笔记,
Draw two cards at the start of each fight,每场战斗开始时抽两张卡牌,
GainGold,获得【 {value} 】<<SpecialKeyword|gold>>,
GainHealth,获得【 {value} 】<<SpecialKeyword|health>>,
GainMana,获得【 {value} 】<<SpecialKeyword|mana>>,
Upgrade,升级你的牌组中的【 {value} 】张卡牌,
Delete,从你的牌组中删除【 {value} 】张卡牌,Dungeon Ability (cooldown 4):  Kill a non-boss monster, gaining experience but not gold,待翻译,
