Attack (1), 待翻译,
Attack (2), 待翻译,
Attack (3), 待翻译,
Attack (4), 待翻译,
Storm Slash (1), 待翻译,
Storm Slash (2), 待翻译,
Storm Slash (3), 待翻译,
Frost Slash (1), 待翻译,
Frost Slash (2), 待翻译,
Frost Slash (3), 待翻译,
Flame Slash (1), 待翻译,
Flame Slash (2), 待翻译,
Flame Slash (3), 待翻译,
Corrosive Slash (1), 待翻译,
Corrosive Slash (2), 待翻译,
Corrosive Slash (3), 待翻译,
Colossus Smash, 待翻译,
Sundering Strike, 待翻译,
Sundering Strike (1), 待翻译,
Sundering Strike (2), 待翻译,
Sundering Strike (3), 待翻译,
Rallying Stroke, 待翻译,
Berserker Strike, 待翻译,
Pierce (1), 待翻译,
Pierce (2), 待翻译,
Pierce (3), 待翻译,
Holy Strike (1), 待翻译,
Holy Strike (2), 待翻译,
Holy Strike (3), 待翻译,
Sorcerous Strike (1), 待翻译,
Sorcerous Strike (2), 待翻译,
Sorcerous Strike (3), 待翻译,
Infect, 待翻译,
Dragon's Claw (1), 待翻译,
Dragon's Claw (2), 待翻译,
Dragon's Claw (3), 待翻译,
Dragon's Bite, 待翻译,
Shield Bash, 待翻译,
Backstab, 待翻译,
Slash, 待翻译,
Smash, 待翻译,
Skull Crack, 待翻译,
Harry, 待翻译,
Rake, 待翻译,
Maul, 待翻译,
Bite, 待翻译,
Chaos Strike, 待翻译,
Chaos Strike, 待翻译,
Flame Strike, 待翻译,
Lightning Strike, 待翻译,
Burn, 待翻译,
Burn (2), 待翻译,
Shark Bite, 待翻译,
Shark Bite (2), 待翻译,
Thrash, 待翻译,
Infect (1), 待翻译,
Infect (2), 待翻译,
Infect (3), 待翻译,
Mana (1), 待翻译,
Mana (2), 待翻译,
Mana (3), 待翻译,
Dragon's Wisdom, 待翻译,
Flame Charge, 待翻译,
Frost Charge, 待翻译,
Static Charge, 待翻译,
Stone Charge, 待翻译,
Salve, 待翻译,
Wisdom, 待翻译,
Piety, 待翻译,
Clarity, 待翻译,
Mana Surge, 待翻译,
Raw Power, 待翻译,
Elusive Power, 待翻译,
Inspiration, 待翻译,
Kinetic Charge, 待翻译,
Mana Swell, 待翻译,
Overload, 待翻译,
Conduit, 待翻译,
Elemental Surge, 待翻译,
Jasra's Jarring Jolt, 待翻译,
Blur, 待翻译,
Wrath of God, 待翻译,
Soul Siphon, 待翻译,
Orison, 待翻译,
Heal, 待翻译,
Ward, 待翻译,
Divine Inspiration, 待翻译,
Drain Life, 待翻译,
Haste, 待翻译,
Mind Sear, 待翻译,
Crumble, 待翻译,
Invisibility, 待翻译,
Bless, 待翻译,
Soulfire, 待翻译,
Penance, 待翻译,
Force of Will, 待翻译,
Eye for an Eye, 待翻译,
Vapor Form, 待翻译,
Elemental Shroud, 待翻译,
Shrink, 待翻译,
Stasis, 待翻译,
Absorb Vis, 待翻译,
Purifying Light, 待翻译,
Mahamat, 待翻译,
Fireball, 待翻译,
Frost Bolt, 待翻译,
Shock, 待翻译,
Acid Lance, 待翻译,
Meteor, 待翻译,
Acid Rain, 待翻译,
Blizzard, 待翻译,
Electrocute, 待翻译,
Conflagration, 待翻译,
Storm, 待翻译,
Blight, 待翻译,
Freeze, 待翻译,
Earth Shape, 待翻译,
Frost Shape, 待翻译,
